,URL,URL_LENGTH,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
174,M0_131,36,UTF-8,nginx,655.0,NONE,None,None,None,17,1,7,1770,2579,2210,23,6.0,1
175,M0_133,36,UTF-8,nginx,646.0,NONE,None,None,None,11,1,4,1266,966,1554,15,4.0,1
176,M0_134,36,UTF-8,nginx,655.0,NONE,None,None,None,21,1,5,2359,3542,2951,29,8.0,1
177,M0_157,36,UTF-8,nginx,655.0,NONE,None,None,None,19,1,5,2227,3612,2819,27,8.0,1
178,B0_1042,36,ISO-8859-1,nginx,10133.0,US,CA,1/06/2005 0:00,9/09/2016 0:00,0,0,0,0,0,0,0,0.0,0
179,B0_1049,36,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,30/10/2003 0:00,10/09/2016 0:00,0,0,0,0,0,0,0,0.0,0
180,B0_1306,36,ISO-8859-1,nginx/1.12.0,1108.0,US,CA,5/10/2006 0:00,4/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
181,B0_1359,36,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,DE,14/10/2005 0:00,21/04/2017 0:00,0,0,0,0,0,0,0,0.0,0
182,B0_305,36,utf-8,Apache,19879.0,US,CA,4/04/2006 0:00,3/03/2017 0:00,61,7,6,6100,123896,6388,65,4.0,0
183,B0_444,36,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,7/09/2000 0:00,8/12/2016 0:00,8,0,2,784,16959,958,10,2.0,0
184,B0_474,36,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,210.0,NONE,None,8/12/2007 0:00,28/03/2017 0:00,3,0,1,466,668,640,5,2.0,0
185,B0_487,36,ISO-8859-1,cloudflare-nginx,3326.0,US,CA,6/04/2008 0:00,18/12/2014 0:00,14,7,5,1060,5214,1234,16,2.0,0
186,B0_60,36,iso-8859-1,Apache/2.0.52 (Red Hat),293.0,US,TX,16/07/1998 0:00,16/05/2016 0:00,12,0,4,1331,4860,1631,16,4.0,0
187,B0_69,36,iso-8859-1,Apache/2.2.22,231.0,NONE,None,9/02/2001 0:00,28/12/2016 0:00,7,0,2,730,1284,870,9,2.0,0
188,B0_701,36,UTF-8,Apache,11418.0,US,AZ,28/12/1999 0:00,28/12/2014 0:00,17,0,4,2319,14373,2615,21,4.0,0
189,B0_990,36,UTF-8,GSE,11692.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
190,M0_115,37,windows-1251,Apache/1.3.31 (Unix) PHP/4.3.9 mod_perl/1.29 rus/PL30.20,296.0,US,LA,18/12/2004 0:00,1/12/2016 0:00,2,0,2,128,407,276,4,2.0,1
191,M0_16,37,ISO-8859-1,nginx,162.0,CN,beijingshi,9/02/2009 0:00,27/04/2017 0:00,1,0,1,66,404,206,3,2.0,1
192,M0_60,37,iso-8859-1,Apache,188.0,NONE,None,None,None,19,0,6,1525,1363,1667,21,2.0,1
193,B0_1167,37,ISO-8859-1,Apache/2.2.13 (Unix) mod_ssl/2.2.13 OpenSSL/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 PHP/5.2.10,6062.0,US,California,2/07/2010 0:00,25/04/2017 0:00,0,0,0,0,0,0,0,0.0,0
194,B0_1196,37,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,219.0,US,Missouri,12/11/2007 20:49,28/03/2017 18:16,0,0,0,0,0,0,0,0.0,0
195,B0_1204,37,ISO-8859-1,Apache,1002.0,OTHER,Austria,1/06/2004 0:00,2/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
196,B0_1219,37,utf-8,Apache,14109.0,US,California,22/02/2006 0:00,22/01/2017 0:00,0,0,0,0,0,0,0,0.0,0
197,B0_1316,37,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,North Carolina,5/06/2000 0:00,6/07/2015 0:00,0,0,0,0,0,0,0,0.0,0
198,B0_2056,37,utf-8,Apache/2.2.22 (Ubuntu),8022.0,US,California,10/05/2006 23:10,11/05/2016 14:19,23,5,8,1674,696,1674,23,0.0,0
199,B0_2093,37,utf-8,nginx,32441.0,GB,GB,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,11,10,7,834,882,834,11,0.0,0
200,B0_2116,37,ISO-8859-1,ATS/5.3.0,7891.0,US,MA,22/02/2001 0:00,24/01/2017 0:00,6,5,2,540,535,540,6,0.0,0
201,B0_2230,37,UTF-8,Apache,1840.0,US,CA,11/09/1997 4:00,9/12/2015 14:43,8,5,5,648,739,648,8,0.0,0
202,B0_2277,37,ISO-8859-1,Apache/2.2.3 (Red Hat),12768.0,NONE,None,16/10/2000 0:00,25/10/2016 0:00,6,4,3,540,474,540,6,0.0,0
203,B0_476,37,ISO-8859-1,nginx,4297.0,US,OH,5/08/1993 0:00,1/07/2016 0:00,16,1,6,1607,1690,2055,22,6.0,0
204,B0_646,37,utf-8,nginx/1.4.3,135444.0,US,NY,2/11/1996 0:00,26/11/2014 0:00,68,6,7,5207,247488,5345,70,2.0,0
205,B0_677,37,utf-8,ATS,616.0,US,CA,18/01/1995 0:00,26/08/2015 0:00,18,5,10,2248,3605,2890,26,8.0,0
206,B0_777,37,utf-8,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 PHP/5.4.35,6944.0,US,Arizona,14/02/2000 0:00,14/02/2016 0:00,0,0,0,0,0,0,0,0.0,0
207,B0_946,37,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,0,0,0,0,0,0,0,0.0,0
208,B0_947,37,UTF-8,GSE,7783.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
209,M0_120,38,iso-8859-1,Apache/2,337.0,CA,ON,14/09/2009 8:39,6/09/2016 8:26,14,4,6,888,316,888,14,0.0,1
210,M0_151,38,UTF-8,nginx,661.0,NONE,None,None,None,22,1,5,2813,3916,3409,30,8.0,1
211,M0_42,38,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,15,0,2,2342,7249,2806,21,6.0,1
212,M0_43,38,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,19,1,3,2594,7997,3058,25,6.0,1
213,M0_90,38,iso-8859-1,nginx/1.8.0,215.0,NONE,None,18/07/2005 0:00,18/06/2016 0:00,7,0,2,734,1097,880,9,2.0,1
214,B0_1019,38,ISO-8859-1,Apache/2.2.14 (Unix) mod_ssl/2.2.14 OpenSSL/0.9.8e-fips-rhel5,4397.0,US,MA,28/10/1999 0:00,29/08/2016 0:00,0,0,0,0,0,0,0,0.0,0
215,B0_1030,38,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,0,0,0,0,0,0,0,0.0,0
216,B0_1224,38,utf-8,nginx,39740.0,GB,GB,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,0,0,0,0,0,0,0,0.0,0
217,B0_127,38,utf-8,Apache,68067.0,US,MO,20/05/1996 0:00,24/10/2016 0:00,19,0,3,1851,15551,2143,23,4.0,0
218,B0_1289,38,UTF-8,Apache,40299.0,GB,None,18/04/1995 0:00,14/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
219,B0_1387,38,iso-8859-1,Apache/2,345.0,US,CA,24/09/1996 0:00,30/01/2017 0:00,0,0,0,0,0,0,0,0.0,0
220,B0_1403,38,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,NJ,10/01/1992 0:00,5/01/2016 0:00,0,0,0,0,0,0,0,0.0,0
221,B0_1404,38,UTF-8,GSE,3916.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
222,B0_184,38,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,39,25,11,5509,25776,6115,47,8.0,0
223,B0_2011,38,ISO-8859-1,None,34.0,NONE,None,17/07/2001 0:00,28/05/2014 0:00,7,7,3,618,562,618,7,0.0,0
224,B0_2138,38,UTF-8,Apache,1172.0,US,NY,21/09/2001 0:00,2/03/2017 0:00,4,3,2,432,244,432,4,0.0,0
225,B0_2213,38,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,5/06/2003 0:00,26/11/2014 0:00,6,6,3,540,539,540,6,0.0,0
226,B0_246,38,UTF-8,None,24087.0,AU,NSW,19/02/2002 1:02,29/11/2016 0:00,8,0,3,786,968,1106,12,4.0,0
227,B0_295,38,utf-8,ATS,618.0,US,CA,18/01/1995 0:00,26/08/2015 0:00,46,17,7,5306,39325,5906,54,8.0,0
228,B0_34,38,ISO-8859-1,None,6746.0,NONE,None,28/11/1999 0:00,9/09/2013 0:00,35,8,14,3072,9718,3506,41,6.0,0
229,B0_360,38,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,UT,26/05/1997 0:00,23/04/2017 0:00,23,7,7,1967,6542,2417,29,6.0,0
230,B0_37,38,us-ascii,Microsoft-HTTPAPI/2.0,324.0,AU,NSW,5/07/2008 0:00,30/08/2016 0:00,13,7,7,1068,1006,1216,15,2.0,0
231,B0_41,38,utf-8,Apache,9555.0,OTHER,None,7/04/2007 0:00,8/04/2017 0:00,23,5,9,2823,15940,3153,27,4.0,0
232,B0_441,38,UTF-8,Apache,1840.0,US,CA,11/09/1997 4:00,9/12/2015 14:43,23,12,8,3099,7395,3439,27,4.0,0
233,B0_464,38,utf-8,Microsoft-IIS/8.0,4929.0,OTHER,None,29/01/2004 16:01,29/12/2016 14:11,16,0,5,1927,8052,2219,20,4.0,0
234,B0_496,38,utf-8,Apache/2.4.18 (Ubuntu),12400.0,US,FL,17/02/1999 5:00,19/12/2016 8:39,16,0,3,1879,8768,2307,22,6.0,0
235,B0_536,38,UTF-8,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.4.16 mod_apreq2-20090110/2.8.0 mod_perl/2.0.10 Perl/v5.24.1,42952.0,US,FL,27/02/2000 15:05,31/05/2016 17:46,35,30,2,4047,54041,4497,41,6.0,0
236,B0_90,38,UTF-8,GSE,7868.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,44,0,4,5064,35677,5586,50,6.0,0
237,B0_914,38,iso-8859-1,Apache/2.2.20 (Unix),220.0,US,CA,8/08/2002 0:00,29/07/2015 0:00,0,0,0,0,0,0,0,0.0,0
238,B0_918,38,UTF-8,GSE,7797.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
239,M0_141,39,UTF-8,nginx,637.0,NONE,None,None,None,4,0,4,264,388,264,4,0.0,1
240,M0_144,39,UTF-8,nginx,640.0,NONE,None,None,None,11,1,4,1266,960,1548,15,4.0,1
241,M0_145,39,UTF-8,nginx,640.0,NONE,None,None,None,26,5,8,2329,4850,2759,32,6.0,1
242,M0_150,39,UTF-8,nginx,661.0,NONE,None,None,None,20,0,6,2328,3285,2772,26,6.0,1
243,M0_44,39,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,20,0,2,2976,7783,3440,26,6.0,1
244,M0_91,39,iso-8859-1,nginx/1.8.0,216.0,NONE,None,18/07/2005 0:00,18/06/2016 0:00,8,0,1,809,1321,1101,12,4.0,1
245,B0_1050,39,UTF-8,Apache/2.2.15 (CentOS),256306.0,AU,New South Wales,8/01/2009 10:56,9/01/2017 10:11,0,0,0,0,0,0,0,0.0,0
246,B0_1161,39,iso-8859-1,Apache,404.0,US,WV,21/10/2006 0:00,22/10/2016 0:00,0,0,0,0,0,0,0,0.0,0
247,B0_1198,39,UTF-8,GSE,7472.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
248,B0_1210,39,UTF-8,Apache/2.4.18 (Ubuntu),3063.0,OTHER,None,14/09/2000 8:47,15/09/2016 21:37,0,0,0,0,0,0,0,0.0,0
249,B0_1279,39,utf-8,Apache,12985.0,US,CO,17/02/2006 0:00,19/08/2015 0:00,0,0,0,0,0,0,0,0.0,0
250,B0_1300,39,UTF-8,GSE,9352.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
251,B0_2136,39,UTF-8,Apache,9050.0,NONE,None,None,None,22,9,9,1560,1334,1560,22,0.0,0
252,B0_2193,39,utf-8,ATS,620.0,US,CA,18/01/1995 0:00,26/08/2015 0:00,3,3,1,366,306,366,3,0.0,0
253,B0_2241,39,ISO-8859-1,AmazonS3,889.0,NONE,None,15/05/2005 0:00,15/04/2017 0:00,10,4,5,816,436,816,10,0.0,0
254,B0_2244,39,ISO-8859-1,nginx,1502.0,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,8,4,6,684,762,684,8,0.0,0
255,B0_2291,39,iso-8859-1,Apache,340.0,CA,ON,26/11/1996 0:00,2/11/2016 0:00,11,5,5,894,634,894,11,0.0,0
256,B0_253,39,ISO-8859-1,Apache,1002.0,OTHER,Austria,1/06/2004 0:00,2/06/2016 0:00,10,2,7,927,2926,1241,14,4.0,0
257,B0_389,39,utf-8,Apache/2.2.15 (CentOS),431.0,OTHER,GRAND CAYMAN,24/08/2003 0:00,27/02/2017 0:00,9,0,1,865,19264,1045,11,2.0,0
258,B0_392,39,ISO-8859-1,nginx,1500.0,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,40,11,12,6028,20061,6502,46,6.0,0
259,B0_471,39,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,38,33,1,6419,29141,7171,48,10.0,0
260,B0_50,39,us-ascii,Microsoft-HTTPAPI/2.0,324.0,OTHER,TR,28/10/2008 0:00,3/04/2016 0:00,12,6,9,1063,1287,1213,14,2.0,0
261,B0_632,39,UTF-8,Apache/2.2.22 (Debian),8507.0,US,Arizona,28/02/2008 0:00,24/04/2017 0:00,13,3,7,1313,1612,1605,17,4.0,0
262,B0_710,39,ISO-8859-1,nginx/1.11.10,121211.0,US,GA,22/09/1993 0:00,15/02/2017 0:00,35,0,2,3234,129083,3384,38,2.0,0
263,B0_865,39,UTF-8,Apache,58.0,PA,Panama,7/11/2016 0:00,7/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
264,B0_870,39,UTF-8,Apache/2,1007.0,PA,Panama,30/07/2009 4:01,19/04/2017 10:41,0,0,0,0,0,0,0,0.0,0
265,M0_126,40,UTF-8,nginx,637.0,NONE,None,None,None,12,1,5,1340,964,1622,16,4.0,1
266,M0_139,40,UTF-8,nginx,640.0,NONE,None,None,None,12,1,4,1325,2091,1749,18,6.0,1
267,M0_143,40,UTF-8,nginx,643.0,NONE,None,None,None,11,1,4,1266,960,1548,15,4.0,1
268,M0_158,40,UTF-8,nginx,667.0,NONE,None,None,None,21,1,5,2383,3786,2983,29,8.0,1
269,M0_160,40,UTF-8,nginx,667.0,NONE,None,None,None,19,1,5,2243,3021,2691,25,6.0,1
270,M0_39,40,utf-8,Apache,3016.0,NONE,None,None,None,11,0,2,1285,2462,1741,17,6.0,1
271,M0_45,40,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,19,0,2,2610,7715,3074,25,6.0,1
272,B0_1033,40,UTF-8,GSE,7283.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
273,B0_1075,40,utf-8,Yippee-Ki-Yay,12513.0,US,Arizona,13/09/2001 23:03,13/02/2013 1:33,0,0,0,0,0,0,0,0.0,0
274,B0_1116,40,UTF-8,Apache,13183.0,US,CA,22/02/2001 0:00,7/02/2017 0:00,0,0,0,0,0,0,0,0.0,0
275,B0_1142,40,UTF-8,GSE,6222.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
276,B0_116,40,UTF-8,Apache,7942.0,US,CA,2/10/2005 0:00,3/10/2016 0:00,8,0,2,1016,1612,1324,12,4.0,0
277,B0_1383,40,UTF-8,Apache,3013.0,US,CA,20/10/1998 0:00,4/12/2013 0:00,0,0,0,0,0,0,0,0.0,0
278,B0_2010,40,UTF-8,mw2165.codfw.wmnet,4692.0,US,CA,13/01/2001 0:12,12/12/2015 10:16,7,4,3,630,310,630,7,0.0,0
279,B0_2034,40,UTF-8,GSE,9433.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,3,3,1,366,306,366,3,0.0,0
280,B0_2148,40,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,New Jersey,23/04/2002 18:56,20/08/2015 15:58,3,3,1,366,306,366,3,0.0,0
281,B0_222,40,UTF-8,Apache/2.2.23 (Amazon),11590.0,US,New York,26/09/2005 0:00,23/07/2011 0:00,156,17,12,23383,295213,23877,162,6.0,0
282,B0_2275,40,iso-8859-1,Apache,230.0,US,California,4/01/1995 0:00,4/01/2017 0:00,5,3,3,486,244,486,5,0.0,0
283,B0_251,40,ISO-8859-1,LiteSpeed,618.0,AU,Vic,30/07/2004 0:00,30/03/2014 0:00,24,6,4,1784,23886,1950,26,2.0,0
284,B0_353,40,utf-8,ATS,622.0,US,CA,18/01/1995 0:00,26/08/2015 0:00,8,1,3,1088,2036,1524,14,6.0,0
285,B0_391,40,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,PA,5/06/2003 0:00,26/11/2014 0:00,22,0,2,1724,38477,1886,24,2.0,0
286,B0_416,40,ISO-8859-1,nginx/1.12.0,1108.0,NONE,None,17/02/2009 0:00,16/02/2015 0:00,15,10,4,1166,1626,1538,19,4.0,0
287,B0_520,40,UTF-8,Microsoft-IIS/7.5,63279.0,US,OH,8/11/1998 0:00,16/03/2015 0:00,56,4,8,4551,67881,4843,60,4.0,0
288,B0_552,40,ISO-8859-1,Apache,15240.0,NONE,None,12/02/2002 0:00,16/10/2014 0:00,8,4,1,1325,2833,1637,12,4.0,0
289,B0_562,40,utf-8,Apache,65993.0,US,MO,20/05/1996 0:00,24/10/2016 0:00,24,0,9,2112,16019,2404,28,4.0,0
290,B0_590,40,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,48,41,9,6057,15706,6657,56,8.0,0
291,B0_697,40,UTF-8,nginx,15363.0,US,NY,8/05/1996 0:00,27/01/2017 0:00,20,5,9,2948,5557,3248,24,4.0,0
292,B0_703,40,iso-8859-1,None,411.0,US,TX,2/03/1999 0:00,1/02/2017 0:00,14,1,3,1981,6759,2497,20,6.0,0
293,B0_765,40,UTF-8,GSE,38119.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,38,1,3,2995,41717,3531,44,6.0,0
294,B0_976,40,UTF-8,GSE,6498.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
295,B0_980,40,utf-8,ATS,622.0,US,CA,18/01/1995 0:00,26/08/2015 0:00,0,0,0,0,0,0,0,0.0,0
296,M0_116,41,UTF-8,nginx,643.0,NONE,None,None,None,9,0,3,1142,1991,1430,13,4.0,1
297,M0_156,41,UTF-8,nginx,670.0,NONE,None,None,None,15,1,5,1653,2798,2103,21,6.0,1
298,M0_52,41,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,24,0,2,4034,12486,4498,30,6.0,1
299,M0_57,41,UTF-8,Proxy Pandeiro UOL,27103.0,OTHER,None,None,None,22,0,3,2316,31378,2640,26,4.0,1
300,M0_92,41,iso-8859-1,nginx/1.8.0,218.0,NONE,None,18/07/2005 0:00,18/06/2016 0:00,7,0,1,737,1162,1047,11,4.0,1
301,B0_107,41,iso-8859-1,nginx,318.0,NONE,None,21/11/2016 0:00,13/01/2017 0:00,8,0,2,1089,1977,1601,14,6.0,0
302,B0_1296,41,utf-8,Apache,65473.0,US,MO,20/05/1996 0:00,24/10/2016 0:00,0,0,0,0,0,0,0,0.0,0
303,B0_1378,41,us-ascii,Microsoft-HTTPAPI/2.0,324.0,GB,worcs,25/10/2006 0:00,18/10/2016 0:00,0,0,0,0,0,0,0,0.0,0
304,B0_2299,41,UTF-8,Apache,7065.0,US,Arizona,4/11/2003 0:00,4/11/2016 0:00,5,3,3,576,522,576,6,0.0,0
305,B0_238,41,ISO-8859-1,openresty/1.11.2.2,10588.0,US,FL,30/07/2002 0:00,26/06/2014 0:00,20,0,2,1895,13792,2055,22,2.0,0
306,B0_30,41,iso-8859-1,Apache,281.0,US,PA,9/03/2010 0:00,18/01/2013 0:00,18,0,3,1868,18348,2202,22,4.0,0
307,B0_364,41,us-ascii,Microsoft-IIS/7.5,324.0,US,Kansas,4/07/2001 23:21,19/04/2017 17:24,10,3,5,1202,1335,1500,14,4.0,0
308,B0_427,41,iso-8859-1,Apache,13.0,US,Arizona,6/07/2016 14:30,5/09/2016 3:47,8,3,8,552,420,552,8,0.0,0
309,B0_829,41,UTF-8,Apache-Coyote/1.1,9817.0,GB,London,13/06/1997 0:00,5/11/2015 0:00,0,0,0,0,0,0,0,0.0,0
310,M0_128,42,UTF-8,nginx,646.0,NONE,None,None,None,7,1,5,466,822,760,11,4.0,1
311,M0_154,42,UTF-8,nginx,673.0,NONE,None,None,None,18,1,4,2185,2969,2637,24,6.0,1
312,M0_155,42,UTF-8,nginx,673.0,NONE,None,None,None,18,1,5,2185,2969,2637,24,6.0,1
313,M0_47,42,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,24,0,2,4035,12416,4499,30,6.0,1
314,M0_48,42,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,25,0,2,4101,12614,4565,31,6.0,1
315,M0_50,42,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,23,0,2,3969,12354,4433,29,6.0,1
316,M0_53,42,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,25,0,2,4101,12614,4565,31,6.0,1
317,M1_3,42,ISO-8859-1,Apache,895.0,US,Arizona,5/03/2013 20:51,5/05/2013 3:46,15,0,6,1980,5911,2334,19,4.0,1
318,B0_1257,42,UTF-8,Apache,7289.0,CA,ON,14/04/1999 0:00,8/08/2015 0:00,0,0,0,0,0,0,0,0.0,0
319,B0_1260,42,UTF-8,Apache/2.4.25,4974.0,CA,Quebec,27/05/2008 0:00,27/05/2015 0:00,0,0,0,0,0,0,0,0.0,0
320,B0_1268,42,UTF-8,mw2225.codfw.wmnet,4691.0,US,CA,13/01/2001 0:12,12/12/2015 10:16,0,0,0,0,0,0,0,0.0,0
321,B0_1375,42,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,0,0,0,0,0,0,0,0.0,0
322,B0_1422,42,ISO-8859-1,nginx,1505.0,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,0,0,0,0,0,0,0,0.0,0
323,B0_146,42,UTF-8,Apache,7509.0,NONE,None,16/08/1999 0:00,17/08/2013 0:00,7,0,2,985,1496,1433,13,6.0,0
324,B0_2112,42,ISO-8859-1,Apache-Coyote/1.1,5127.0,US,CA,4/08/1995 0:00,26/01/2017 0:00,4,3,2,432,310,432,4,0.0,0
325,B0_2231,42,us-ascii,None,324.0,NONE,None,11/10/2000 0:00,2/07/2014 0:00,8,8,3,636,364,636,8,0.0,0
326,B0_314,42,UTF-8,Apache/2.2.15 (CentOS),2766.0,NONE,None,30/04/2009 0:00,5/01/2017 0:00,33,4,9,3088,12104,3720,41,8.0,0
327,B0_510,42,UTF-8,Apache/2.2.22 (Debian),10561.0,JP,6110021,13/02/2017 0:00,28/02/2017 0:00,15,4,4,1540,25529,1844,19,4.0,0
328,B0_518,42,UTF-8,Apache/2.2.22 (Debian),8769.0,OTHER,Not Applicable,29/09/2015 0:00,24/03/2017 0:00,5,0,3,334,412,474,7,2.0,0
329,B0_527,42,UTF-8,GSE,12608.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,71,9,13,7856,82332,8384,77,6.0,0
330,B0_575,42,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CA,22/10/1998 0:00,16/03/2017 0:00,29,14,15,2767,3550,3073,33,4.0,0
331,B0_603,42,UTF-8,Apache/2.2.15 (CentOS),94.0,AU,NSW,19/08/2004 0:00,5/07/2016 0:00,14,0,3,1102,1015,1248,16,2.0,0
332,B0_840,42,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,California,18/03/2016 0:00,14/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
333,B0_963,42,ISO-8859-1,Apache,497.0,US,PA,6/12/2010 0:00,7/12/2016 0:00,0,0,0,0,0,0,0,0.0,0
334,M0_132,43,UTF-8,nginx,646.0,NONE,None,None,None,11,1,4,1266,966,1554,15,4.0,1
335,M0_153,43,UTF-8,nginx,673.0,NONE,None,None,None,18,1,5,2188,3031,2640,24,6.0,1
336,M0_54,43,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516.0,US,Utah,24/05/2000 0:00,25/05/2016 0:00,23,0,2,3970,12548,4434,29,6.0,1
337,M0_95,43,UTF-8,Apache,7550.0,US,CA,3/08/2004 0:00,4/08/2016 0:00,11,0,1,883,8893,1037,13,2.0,1
338,B0_1005,43,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,WA,14/05/2002 0:00,3/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
339,B0_120,43,iso-8859-1,Apache,236.0,US,ca,9/05/2004 18:06,24/04/2017 11:55,16,0,1,1151,24455,1305,18,2.0,0
340,B0_206,43,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,13/11/2002 0:00,13/11/2016 0:00,39,9,5,4044,44173,4420,43,4.0,0
341,B0_2070,43,utf-8,nginx/1.1.19,13089.0,NONE,None,9/12/1996 0:00,9/10/2015 0:00,4,3,2,408,448,408,4,0.0,0
342,B0_2188,43,utf-8,Apache/2.2.15 (CentOS),19724.0,US,Arizona,30/01/1996 0:00,1/02/2017 0:00,4,3,2,420,366,420,4,0.0,0
343,B0_242,43,utf-8,Varnish,389.0,US,CA,16/07/1999 0:00,29/03/2013 0:00,83,2,3,6008,147266,6312,87,4.0,0
